-- Sözlük genişletme · Part 1 (position 550-2049, 1500 kelime)
INSERT INTO words (list_id, word, meaning, position) VALUES
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'establish', 'kurmak', 550),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'consider', 'düşünmek, göz önünde tutmak', 551),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'develop', 'geliştirmek', 552),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'increase', 'artırmak', 553),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'decrease', 'azaltmak', 554),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'reduce', 'azaltmak', 555),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'remove', 'kaldırmak', 556),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'replace', 'yerine koymak', 557),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'provide', 'sağlamak', 558),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'include', 'içermek', 559),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'exclude', 'dışlamak', 560),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'contain', 'içermek', 561),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'achieve', 'başarmak', 562),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'attempt', 'girişim, denemek', 563),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'attend', 'katılmak', 564),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'accept', 'kabul etmek', 565),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'reject', 'reddetmek', 566),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'refuse', 'reddetmek', 567),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'allow', 'izin vermek', 568),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'permit', 'izin vermek', 569),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'prevent', 'önlemek', 570),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'protect', 'korumak', 571),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'defend', 'savunmak', 572),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'attack', 'saldırmak', 573),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'avoid', 'kaçınmak', 574),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'escape', 'kaçmak', 575),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'recover', 'iyileşmek', 576),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'survive', 'hayatta kalmak', 577),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'suffer', 'acı çekmek', 578),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'enjoy', 'zevk almak', 579),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'prefer', 'tercih etmek', 580),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'expect', 'beklemek', 581),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'realize', 'fark etmek', 582),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'recognize', 'tanımak', 583),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'identify', 'kimlik belirlemek', 584),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'discover', 'keşfetmek', 585),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'explore', 'keşfetmek', 586),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'examine', 'incelemek', 587),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'observe', 'gözlemlemek', 588),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'measure', 'ölçmek', 589),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'compare', 'karşılaştırmak', 590),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'contrast', 'karşıtlık', 591),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'analyze', 'çözümlemek', 592),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'evaluate', 'değerlendirmek', 593),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'estimate', 'tahmin etmek', 594),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'calculate', 'hesaplamak', 595),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'predict', 'öngörmek', 596),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'suggest', 'önermek', 597),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'recommend', 'tavsiye etmek', 598),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'advise', 'öğüt vermek', 599),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'warn', 'uyarmak', 600),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'inform', 'bilgilendirmek', 601),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'announce', 'duyurmak', 602),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'declare', 'ilan etmek', 603),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'confirm', 'onaylamak', 604),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'deny', 'inkar etmek', 605),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'admit', 'itiraf etmek', 606),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'confess', 'itiraf etmek', 607),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'pretend', 'numara yapmak', 608),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'lie', 'yalan söylemek', 609),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'explain', 'açıklamak', 610),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'describe', 'tarif etmek', 611),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'mention', 'bahsetmek', 612),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'discuss', 'tartışmak', 613),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'debate', 'tartışmak', 614),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'argue', 'tartışmak', 615),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'complain', 'şikayet etmek', 616),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'apologize', 'özür dilemek', 617),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'thank', 'teşekkür etmek', 618),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'greet', 'selamlamak', 619),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'invite', 'davet etmek', 620),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'welcome', 'karşılamak', 621),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'introduce', 'tanıtmak', 622),
('d25e0b14-e775-453c-9e73-28ae4fbeb0d1', 'present', 'sunmak', 623),
